Title,Genre,In Theaters,Critics Score,Number of Critic Ratings,Audience Score,Number of User Ratings,Budget,Box Office US & Canada,Box Office Worldwide,Runtime Minutes,Synopsis,Critics Consensus,Studio,Content Rating,URL
Eye In The Sky,Mystery & Suspense,2016-04-01,95%,211,83%,32813,"$13,000,000 ","$16,641,379 ","$34,600,000 ",102,"The moral implications of modern warfare are confronted in Bleecker Street's powerful drama, Eye in the Sky, coming to Digital HD on June 14, 2016 and Blu-ray(TM), DVD and On Demand on June 28, 2016, from Universal Pictures Home Entertainment. Tackling an ethical dilemma in a thought-provoking suspenseful story, the gritty film stars Academy Award (R) Winner, Helen Mirren (Trumbo, The Queen), Aaron Paul (""Breaking Bad,"" Need for Speed), Academy Award (R) Nominee Barkhad Abdi (Captain Philips), Iain Glen (""Game of Thrones,"" Lara Croft: Tomb Raider) and the late Alan Rickman (Die Hard, Harry Potter) in his final on-screen performance. Eye in the Sky ""holds us in a vise and keeps squeezing"" according to Peter Travers of Rolling Stone. Directed by Academy Award (R) Winner Gavin Hood (Tsotsi, Ender's Game) and written by Guy Hibbert (""Complicit,"" Five Minutes of Heaven), Eye in the Sky follows Colonel Katherine Powell (Helen Mirren), a UK-based military officer in command of a top secret drone operation to capture terrorists in Kenya. Using remote surveillance and on-the-ground intelligence, Powell discovers the targets are planning a suicide bombing and the mission escalates from ""capture"" to ""kill."" But as American pilot Steve Watts (Aaron Paul) is about to engage, a nine-year-old girl enters the kill zone triggering an international dispute, reaching the highest levels of American and British government, over the moral, political and personal implications of modern military operations.","As taut as it is timely, Eye in the Sky offers a powerfully acted -- and unusually cerebral -- spin on the modern wartime political thriller.",Eone Films,R ,https://www.rottentomatoes.com/m/eye_in_the_sky/
"Faces Places (Visages, villages)",Documentary,2017-10-06,99%,140,89%,2354,"$1,000,000 ","$900,903 ","$4,000,000 ",90,"Agnès Varda and JR have things in common: a passion for and the exploration of images in general, and more precisely, for places and for ways of showing, sharing, and exhibiting them. Agnès chose cinema. JR chose to create open air photography galleries. When Agnès and JR met in 2015, they immediately wanted to work together, to shoot a film in France, far from cities, during a trip in JR's photographic (and magical) truck. Through chance encounters and prepared projects, they reached out to others, listening to them, photographing them, and sometimes putting them on posters. This film also tells the story of Agnès and JR's friendship, which grew stronger throughout the film shoot, between surprises and teasing, and while laughing about their differences.","Equal parts breezily charming and poignantly powerful, Faces Places is a unique cross-generational portrait of life in rural France from the great Agnès Varda.",Cohen Media Group,PG ,https://www.rottentomatoes.com/m/faces_places/
A Fantastic Woman (Una mujer fantástica),Drama,2018-02-02,93%,215,77%,2410,,"$806,746 ","$3,700,000 ",100,"Marina (Daniela Vega), a transgender nightclub singer, comes under suspicion when her much older lover Orlando (Francisco Reyes) dies suddenly. After being harassed and threatened by her late boyfriend's vengeful relatives and the police, she must defend her rights as both Orlando's partner and as a human being.","Subtle and tender, A Fantastic Woman handles its timely, sensitive subject matter with care.",Sony Pictures Classics,R ,https://www.rottentomatoes.com/m/a_fantastic_woman/
The Farewell,Drama,2019-08-09,98%,304,87%,2487,"$3,000,000 ","$17,695,781 ","$19,600,000 ",98,"The film follows a Chinese family who, when they discover their beloved Grandmother has only a short while left to live, decide to keep her in the dark and schedule an impromptu wedding to gather before she passes. Billi, feeling like a fish out of water in her home country, struggles with the family's decision to hide the truth from her grandmother.","The Farewell deftly captures complicated family dynamics with a poignant, well-acted drama that marries cultural specificity with universally relatable themes.",A24,PG ,https://www.rottentomatoes.com/m/the_farewell_2019/
The Favourite,Drama,2018-11-23,93%,385,68%,6763,"$15,000,000 ","$34,366,783 ","$95,900,000 ",119,"Early 18th century. England is at war with the French. Nevertheless, duck racing and pineapple eating are thriving. A frail Queen Anne (Olivia Colman) occupies the throne and her close friend Lady Sarah Churchill (Rachel Weisz) governs the country in her stead while tending to Anne's ill health and mercurial temper. When a new servant Abigail Masham (Emma Stone) arrives, her charm endears her to Sarah. Sarah takes Abigail under her wing and Abigail sees a chance at a return to her aristocratic roots. As the politics of war become quite time consuming for Sarah, Abigail steps into the breach to fill in as the Queen's companion. Their burgeoning friendship gives her a chance to fulfill her ambitions and she will not let woman, man, politics or rabbit stand in her way.","The Favourite sees Yorgos Lanthimos balancing a period setting against rich, timely subtext - and getting roundly stellar performances from his well-chosen stars.","Fox Searchlight Pictures, Film4 and Waypoint",R ,https://www.rottentomatoes.com/m/the_favourite_2018/
Fighting with My Family,Comedy,2019-02-22,92%,224,82%,3447,"$11,000,000 ","$22,958,886 ","$39,100,000 ",107,"FIGHTING WITH MY FAMILY is a heartwarming comedy based on the incredible true story of WWE Superstar Paige(TM). Born into a tight-knit wrestling family, Paige and her brother Zak are ecstatic when they get the once-in-a-lifetime opportunity to try out for WWE. But when only Paige earns a spot in the competitive training program, she must leave her family and face this new, cut-throat world alone. Paige's journey pushes her to dig deep, fight for her family, and ultimately prove to the world that what makes her different is the very thing that can make her a star.","Much like the sport it celebrates, Fighting with My Family muscles past clichés with a potent blend of energy and committed acting that should leave audiences cheering.",MGM,PG-13 ,https://www.rottentomatoes.com/m/fighting_with_my_family/
Finding Dory,Animation,2016-06-17,94%,324,84%,181701,"$200,000,000 ","$486,292,984 ","$1,029,000,000 ",100,"""Finding Dory"" reunites the friendly-but-forgetful blue tang fish with her loved ones, and everyone learns a few things about the true meaning of family along the way. The all-new big-screen adventure dives into theaters in 2016, taking moviegoers back to the extraordinary underwater world from the original film.","Funny, poignant, and thought-provoking, Finding Dory delivers a beautifully animated adventure that adds another entertaining chapter to its predecessor's classic story.",Walt Disney Pictures/PIXAR,PG ,https://www.rottentomatoes.com/m/finding_dory/
First Man,Drama,2018-10-12,87%,425,67%,8410,"$59,000,000 ","$44,936,545 ","$105,600,000 ",138,"On the heels of their six-time Academy Award (R)-winning smash, La La Land, Oscar (R)-winning director Damien Chazelle and star Ryan Gosling reteam for Universal Pictures' First Man, the riveting story of NASA's mission to land a man on the moon, focusing on Neil Armstrong and the years 1961-1969. A visceral, first-person account, based on the book by James R. Hansen, the movie will explore the sacrifices and the cost on Armstrong and on the nation of one of the most dangerous missions in history.",First Man uses a personal focus to fuel a look back at a pivotal moment in human history - and takes audiences on a soaring dramatic journey along the way.,Universal Pictures,PG-13 ,https://www.rottentomatoes.com/m/first_man/
First Reformed,Drama,2018-05-18,93%,233,68%,3287,"$3,500,000 ","$3,448,256 ","$3,800,000 ",108,"Reverend Ernst Toller (Ethan Hawke) is a solitary, middle-aged parish pastor at a small Dutch Reform church in upstate New York on the cusp of celebrating its 250th anniversary. Once a stop on the Underground Railroad, the church is now a tourist attraction catering to a dwindling congregation, eclipsed by its nearby parent church, Abundant Life, with its state-of-the-art facilities and 5,000-strong flock. When a pregnant parishioner (Amanda Seyfried) asks Reverend Toller to counsel her husband, a radical environmentalist, the clergyman finds himself plunged into his own tormented past, and equally despairing future, until he finds redemption in an act of grandiose violence. From writer-director Paul Schrader (Taxi Driver; American Gigolo; Affliction) comes a gripping thriller about a crisis of faith that is at once personal, political, and planetary.","Brought to life by delicate work from writer-director Paul Schrader and elevated by a standout performance by Ethan Hawke, First Reformed takes a sensitive and suspenseful look at weighty themes.",A24,R ,https://www.rottentomatoes.com/m/first_reformed/
The Florida Project,Drama,2017-10-06,96%,298,80%,13012,"$2,000,000 ","$5,412,775 ","$11,300,000 ",115,"The Florida Project tells the story of a precocious six year-old and her ragtag group of friends whose summer break is filled with childhood wonder, possibility and a sense of adventure while the adults around them struggle with hard times.",The Florida Project offers a colorfully empathetic look at an underrepresented part of the population that proves absorbing even as it raises sobering questions about modern America.,June Pictures,R ,https://www.rottentomatoes.com/m/the_florida_project/
Ford v Ferrari,Action & Adventure,2019-11-15,92%,309,98%,22397,"$97,600,000 ","$109,976,339 ","$206,300,000 ",152,"Academy Award-winners Matt Damon and Christian Bale star in FORD v FERRARI, based on the remarkable true story of the visionary American car designer Carroll Shelby (Damon) and the fearless British-born driver Ken Miles (Bale), who together battled corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.",Ford v Ferrari delivers all the polished auto action audiences will expect -- and balances it with enough gripping human drama to satisfy non-racing enthusiasts.,20th Century Fox,PG-13 ,https://www.rottentomatoes.com/m/ford_v_ferrari/
Free Solo,Documentary,2018-09-28,97%,146,93%,2668,,"$17,541,090 ","$28,600,000 ",97,"From award-winning documentary filmmaker E. Chai Vasarhelyi (""MERU"") and world-renowned photographer and mountaineer Jimmy Chin comes National Geographic Documentary Film's FREE SOLO, a stunning, intimate and unflinching portrait of the free soloist climber Alex Honnold, as he prepares to achieve his lifelong dream: climbing the face of the world's most famous rock... the 3,000ft El Capitan in Yosemite National Park... without a rope. Celebrated as one of the greatest athletic feats of any kind, Honnold's climb set the ultimate standard: perfection or death. Succeeding in this challenge, Honnold enters his story in the annals of human achievement. FREE SOLO is both an edge-of-your seat thriller and an inspiring portrait of an athlete who exceeded our current understanding of human physical and mental potential. The result is a triumph of the human spirit.",Free Solo depicts athletic feats that many viewers will find beyond reason - and grounds the attempts in passions that are all but universal.,Greenwich Entertainment,PG-13 ,https://www.rottentomatoes.com/m/free_solo/
Get Out,Horror,2017-02-24,98%,364,86%,74385,"$4,500,000 ","$175,428,355 ","$255,400,000 ",104,"Now that Chris and his girlfriend, Rose, have reached the meet-the-parents milestone of dating, she invites him for a weekend getaway upstate with Missy and Dean. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he could have never imagined.","Funny, scary, and thought-provoking, Get Out seamlessly weaves its trenchant social critiques into a brilliantly effective and entertaining horror/comedy thrill ride.",Universal Pictures,R ,https://www.rottentomatoes.com/m/get_out/
A Ghost Story,Drama,2017-07-07,91%,265,66%,16517,"$100,000 ","$1,594,798 ","$1,900,000 ",87,"With A GHOST STORY, acclaimed director David Lowery (AIN'T THEM BODIES SAINTS, PETE'S DRAGON) returns with a singular exploration of legacy, loss, and the essential human longing for meaning and connection. Recently deceased, a white-sheeted ghost (Academy Award-winner Casey Affleck) returns to his suburban home to console his bereft wife (Academy Award-nominee Rooney Mara), only to find that in his spectral state he has become unstuck in time, forced to watch passively as the life he knew and the woman he loves slowly slip away. Increasingly unmoored, the ghost embarks on a cosmic journey through memory and history, confronting life's ineffable questions and the enormity of existence. An unforgettable meditation on love and grief, A GHOST STORY emerges ecstatic and surreal - a wholly unique experience that lingers long after the credits roll.","A Ghost Story deftly manages its ambitious themes through an inventive, artful, and ultimately poignant exploration of love and loss.",Ideaman Studios,R ,https://www.rottentomatoes.com/m/a_ghost_story/
Gloria,Drama,2014-01-24,99%,128,64%,10850,,"$1,587,655 ","$6,461,000 ",108,"Gloria is a ""woman of a certain age"" but still feels young. Though lonely, she makes the best of her situation and fills her nights seeking love at social dance clubs for single adults. Her fragile happiness changes the day she meets Rodolfo. Their intense passion, to which Gloria gives her all, leaves her vacillating between hope and despair -- until she uncovers a new strength and realizes that, in her golden years, she can shine brighter than ever. GLORIA is Chile's official entry for Best Foreign Language Film at the 86th Academy Awards (R), and stars Paulina García in a tour de force performance that captured the Silver Bear Best Actress Award at this year's Berlin Film Festival. (c) Roadside","Marvelously directed by Sebastian Lelio and beautifully led by a powerful performance from Paulina Garcia, Gloria takes an honest, sweetly poignant look at a type of character that's all too often neglected in Hollywood.",Roadside Attractions,R ,https://www.rottentomatoes.com/m/gloria_2012/
The Grand Budapest Hotel,Comedy,2014-03-07,91%,296,86%,97124,"$25,000,000 ","$56,939,515 ","$175,000,000 ",99,"THE GRAND BUDAPEST HOTEL recounts the adventures of Gustave H, a legendary concierge at a famous European hotel between the wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend. The story involves the theft and recovery of a priceless Renaissance painting and the battle for an enormous family fortune -- all against the back-drop ofa suddenly and dramatically changing Continent. (c) Fox Searchlight","Typically stylish but deceptively thoughtful, The Grand Budapest Hotel finds Wes Anderson once again using ornate visual environments to explore deeply emotional ideas.",Fox Searchlight,R ,https://www.rottentomatoes.com/m/the_grand_budapest_hotel/
Gravity,Fantasy & Science Fiction,2013-10-04,96%,347,80%,302804,"$100,000,000 ","$274,084,951 ","$723,200,000 ",91,"Gravity stars Sandra Bullock and George Clooney in a heart-pounding thriller that pulls you into the infinite and unforgiving realm of deep space. Bullock plays Dr. Ryan Stone, a brilliant medical engineer on her first shuttle mission, with veteran astronaut Matt Kowalsky (Clooney). But on a seemingly routine spacewalk, disaster strikes. The shuttle is destroyed, leaving Stone and Kowalsky completely alone - tethered to nothing but each other and spiraling out into the blackness. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space. -- (C) Warner Bros.","Alfonso Cuarón's Gravity is an eerie, tense sci-fi thriller that's masterfully directed and visually stunning.",Warner Bros. Pictures,PG-13 ,https://www.rottentomatoes.com/m/gravity_2013/
Guardians of the Galaxy,Action & Adventure,2014-08-01,91%,320,92%,254925,"$170,000,000 ","$270,592,504 ","$772,800,000 ",121,"From Marvel, the studio that brought you the global blockbuster franchises of Iron Man, Thor, Captain America and The Avengers, comes a new team-the Guardians of the Galaxy. An action-packed, epic space adventure, Marvel's ""Guardians of the Galaxy"" expands the Marvel Cinematic Universe into the cosmos, where brash adventurer Peter Quill finds himself the object of an unrelenting bounty hunt after stealing a mysterious orb coveted by Ronan, a powerful villain with ambitions that threaten the entire universe. To evade the ever-persistent Ronan, Quill is forced into an uneasy truce with a quartet of disparate misfits-Rocket, a gun-toting raccoon, Groot, a tree-like humanoid, the deadly and enigmatic Gamora and the revenge-driven Drax the Destroyer. But when Quill discovers the true power of the orb and the menace it poses to the cosmos, he must do his best to rally his ragtag rivals for a last, desperate stand-with the galaxy's fate in the balance. (C) Walt Disney","Guardians of the Galaxy is just as irreverent as fans of the frequently zany Marvel comic would expect -- as well as funny, thrilling, full of heart, and packed with visual splendor.",Walt Disney Pictures,PG-13 ,https://www.rottentomatoes.com/m/guardians_of_the_galaxy/
The Guilty (Den skyldige),Mystery & Suspense,2018-10-19,98%,112,87%,1262,,"$207,140 ","$3,400,000 ",85,"When police officer Asger Holm (Jakob Cedergren) is demoted to desk work, he expects a sleepy beat as an emergency dispatcher. That all changes when he answers a panicked phone call from a kidnapped woman who then disconnects abruptly. Asger, confined to the police station, is forced to use others as his eyes and ears as the severity of the crime slowly becomes more clear. The search to find the missing woman and her assailant will take every bit of his intuition and skill, as a ticking clock and his own personal demons conspire against him. This innovative and unrelenting Danish thriller uses a single location to great effect, ratcheting up the tension as twists pile up and secrets are revealed. Director Gustav Möller expertly frames the increasingly messy proceedings against the clean Scandinavian sterility of the police department, while Cedergren's strong performance anchors the film and places the audience squarely in Holm's tragically flawed yet well-intentioned mindspace.","Sleek, well-acted, and intelligently crafted, The Guilty is a high-concept thriller that wrings maximum impact out of a handful of basic - and effective - ingredients.",Magnolia Pictures,R ,https://www.rottentomatoes.com/m/the_guilty_2018/
The Handmaiden (Ah-ga-ssi),Drama,2016-10-21,95%,205,91%,10681,"$8,500,000 ","$2,004,919 ","$37,000,000 ",145,"From PARK Chan-wook, the celebrated director of OLDBOY, LADY VENGEANCE, THIRST and STOKER, comes a ravishing new crime drama inspired by the novel 'FINGERSMITH' by British author Sarah Waters. Having transposed the story to 1930s-era colonial Korea and Japan, Park presents a gripping and sensual tale of a young Japanese Lady living on a secluded estate, and a Korean woman who is hired to serve as her new handmaiden, but who is secretly involved in a conman's plot to defraud her of her large inheritance. Powered by remarkable performances from KIM Min-hee (RIGHT NOW, WRONG THEN) as Lady Hideko, HA Jung-woo (THE CHASER) as the conman who calls himself the Count and sensational debut actress KIM Tae-ri as the maid Sookee, THE HANDMAIDEN borrows the most dynamic elements of its source material and combines it with PARK Chan-wook's singular vision and energy to create an unforgettable viewing experience.",The Handmaiden uses a Victorian crime novel as the loose inspiration for another visually sumptuous and absorbingly idiosyncratic outing from director Park Chan-wook.,CJ Entertainment,NR,https://www.rottentomatoes.com/m/the_handmaiden/
Harry Potter and the Deathly Hallows - Part 2,Action & Adventure,2011-07-15,96%,329,89%,391348,"$250,000,000 ","$381,000,185 ","$1,342,000,000 ",131,"Harry Potter and the Deathly Hallows - Part 2, is the final adventure in the Harry Potter film series. The much-anticipated motion picture event is the second of two full-length parts. In the epic finale, the battle between the good and evil forces of the wizarding world escalates into an all-out war. The stakes have never been higher and no one is safe. But it is Harry Potter who may be called upon to make the ultimate sacrifice as he draws closer to the climactic showdown with Lord Voldemort. It all ends here. -- (C) Warner Bros","Thrilling, powerfully acted, and visually dazzling, Deathly Hallows Part II brings the Harry Potter franchise to a satisfying -- and suitably magical -- conclusion.",Warner Bros. Pictures,PG-13 ,https://www.rottentomatoes.com/m/harry_potter_and_the_deathly_hallows_part_2_2011/
The Hate U Give,Drama,2018-10-19,97%,214,82%,4167,"$23,000,000 ","$29,719,483 ","$34,900,000 ",132,"Starr Carter is constantly switching between two worlds: the poor, mostly black, neighborhood where she lives and the rich, mostly white, prep school she attends. The uneasy balance between these worlds is shattered when Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Now, facing pressures from all sides of the community, Starr must find her voice and stand up for what's right. THE HATE U GIVE is based on the critically acclaimed New York Times bestseller by Angie Thomas and stars Amandla Stenberg as Starr, with Russell Hornsby, Regina Hall, Common, Anthony Mackie and Issa Rae.","Led by a breakout turn from Amandla Stenberg, the hard-hitting The Hate U Give emphatically proves the YA genre has room for much more than magic and romance.",20th Century Fox,PG-13 ,https://www.rottentomatoes.com/m/the_hate_u_give/
Hell or High Water,Mystery & Suspense,2016-08-12,97%,275,88%,39768,"$12,000,000 ","$26,973,524 ","$37,900,000 ",102,"Texas brothers--Toby (Chris Pine), and Tanner (Ben Foster), come together after years divided to rob branches of the bank threatening to foreclose on their family land. For them, the hold-ups are just part of a last-ditch scheme to take back a future that seemed to have been stolen from under them. Justice seems to be theirs, until they find themselves on the radar of Texas Ranger, Marcus (Jeff Bridges) looking for one last grand pursuit on the eve of his retirement, and his half-Comanche partner, Alberto (Gil Birmingham). As the brothers plot a final bank heist to complete their scheme, and with the Rangers on their heels, a showdown looms at the crossroads where the values of the Old and New West murderously collide.","Hell or High Water offers a solidly crafted, well-acted Western heist thriller that eschews mindless gunplay in favor of confident pacing and full-bodied characters.",Film 44,R ,https://www.rottentomatoes.com/m/hell_or_high_water/
Her,Fantasy & Science Fiction,2013-12-18,94%,272,82%,101038,"$23,000,000 ","$17,901,029 ","$48,300,000 ",126,"Spike Jonze takes the helm for this comedy about a withdrawn writer (Joaquin Phoenix) who falls in love with his computer's highly advanced operating system. ~ Jason Buchanan, Rovi","Sweet, soulful, and smart, Spike Jonze's Her uses its just-barely-sci-fi scenario to impart wryly funny wisdom about the state of modern human relationships.",Warner Bros. Pictures,R ,https://www.rottentomatoes.com/m/her/
Hereditary,Horror,2018-06-08,89%,354,66%,11996,"$10,000,000 ","$44,069,456 ","$79,300,000 ",127,"When Ellen, the matriarch of the Graham family, passes away, her daughter's family begins to unravel cryptic and increasingly terrifying secrets about their ancestry. The more they discover, the more they find themselves trying to outrun the sinister fate they seem to have inherited. Making his feature debut, writer-director Ari Aster unleashes a nightmare vision of a domestic breakdown that exhibits the craft and precision of a nascent auteur, transforming a familial tragedy into something ominous and deeply disquieting, and pushing the horror movie into chilling new terrain with its shattering portrait of heritage gone to hell.","Hereditary uses its classic setup as the framework for a harrowing, uncommonly unsettling horror film whose cold touch lingers long beyond the closing credits.",Windy Hill Pictures,R ,https://www.rottentomatoes.com/m/hereditary/
Hidden Figures,Drama,2017-01-06,93%,305,93%,58194,"$25,000,000 ","$169,385,416 ","$236,000,000 ",127,"HIDDEN FIGURES is the incredible untold story of Katherine G. Johnson (Taraji P. Henson), Dorothy Vaughan (Octavia Spencer) and Mary Jackson (Janelle Monáe)-brilliant African-American women working at NASA, who served as the brains behind one of the greatest operations in history: the launch of astronaut John Glenn into orbit, a stunning achievement that restored the nation's confidence, turned around the Space Race, and galvanized the world. The visionary trio crossed all gender and race lines to inspire generations to dream big.","In heartwarming, crowd-pleasing fashion, Hidden Figures celebrates overlooked -- and crucial -- contributions from a pivotal moment in American history.",20th Century Fox,PG ,https://www.rottentomatoes.com/m/hidden_figures/
Honeyland,Documentary,2019-07-26,99%,91,87%,123,,"$711,628 ","$727,000 ",85,"Nestled in an isolated mountain region deep within the Balkans, Hatidze Muratova lives with her ailing mother in a village without roads, electricity or running water. She's the last in a long line of Macedonian wild beekeepers, eking out a living farming honey in small batches to be sold in the closest city -- a mere four hours' walk away. Hatidze's peaceful existence is thrown into upheaval by the arrival of an itinerant family, with their roaring engines, seven rambunctious children and herd of cattle. Hatidze optimistically meets the promise of change with an open heart, offering up her affections, her brandy and her tried-and-true beekeeping advice.It doesn't take long however, before Hussein, the itinerant family's patriarch, senses opportunity and develops an interest in selling his own honey. Hussein has seven young mouths to feed and nowhere to graze his cattle, and he soon casts Hatidze's advice aside in his hunt for profit. This causes a breach in the natural order that provokes a conflict with Hatidze that exposes the fundamental tension between nature and humanity, harmony and discord, exploitation and sustainability. Even as the family provides a much-needed respite from Hatidze's isolation and loneliness, her very means of survival are threatened.",Honeyland uses life in a remote village to offer an eye-opening perspective on experiences that should resonate even for audiences halfway around the world.,NEON,NR,https://www.rottentomatoes.com/m/honeyland/
How to Train Your Dragon,Animation,2010-03-26,99%,208,91%,312430,"$165,000,000 ","$216,900,000 ","$494,900,000 ",98,"The son of a Viking chief must capture a dragon in order to mark his passage into manhood and prove his worthiness to the tribe in directors Chris Sanders and Dean DeBlois' adaptation of Cressida Cowell's popular children's book. Gerard Butler, America Ferrera, Jonah Hill, Jay Baruchel, and Christopher Mintz-Plasse provide voices for the DreamWorks Animation production. ~ Jason Buchanan, Rovi","Boasting dazzling animation, a script with surprising dramatic depth, and thrilling 3-D sequences, How to Train Your Dragon soars.",Paramount/DWA,PG ,https://www.rottentomatoes.com/m/how_to_train_your_dragon/
Hunt for the Wilderpeople,Action & Adventure,2016-06-24,96%,193,91%,24452,"$2,500,000 ","$5,202,582 ","$23,200,000 ",101,"Raised on hip-hop and foster care, defiant city kid Ricky gets a fresh start in the New Zealand countryside. He quickly finds himself at home with his new foster family: the loving Aunt Bella, the cantankerous Uncle Hec, and dog Tupac. When a tragedy strikes that threatens to ship Ricky to another home, both he and Hec go on the run in the bush. As a national manhunt ensues, the newly branded outlaws must face their options: go out in a blaze of glory or overcome their differences and survive as a family. Equal parts road comedy and rousing adventure story, director Taika Waititi (WHAT WE DO IN THE SHADOWS, upcoming THOR: RAGNORAK) masterfully weaves lively humor with emotionally honest performances by Sam Neill and Julian Dennison. A hilarious, touching crowd-pleaser, HUNT FOR THE WILDERPEOPLE reminds us about the journey that growing up is (at any age) and those who help us along the way.","The charmingly offbeat Hunt for the Wilderpeople unites a solid cast, a talented filmmaker, and a poignant, funny, deeply affecting message.",Piki Films,NR ,https://www.rottentomatoes.com/m/hunt_for_the_wilderpeople/
Hustlers,Drama,2019-09-13,87%,319,65%,16610,"$20,700,000 ","$104,962,986 ","$156,000,000 ",107,Hustlers follows a crew of savvy former strip club employees who band together to turn the tables on their Wall Street clients.,"Led by a career-best performance from Jennifer Lopez, Hustlers is a uniquely empowering heist drama with depth and intelligence to match its striking visual appeal.",STXfilms,R ,https://www.rottentomatoes.com/m/hustlers_2019/
I Am Not Your Negro,Documentary,2017-02-03,98%,198,83%,14196,"$1,000,000 ","$7,120,626 ","$7,700,000 ",93,"In 1979, James Baldwin wrote a letter to his literary agent describing his next project, Remember This House. The book was to be a revolutionary, personal account of the lives and successive assassinations of three of his close friends-Medgar Evers, Malcolm X and Martin Luther King, Jr. At the time of Baldwin's death in 1987, he left behind only thirty completed pages of his manuscript. Now, in his incendiary new documentary, master filmmaker Raoul Peck envisions the book James Baldwin never finished. The result is a radical, up-to-the-minute examination of race in America, using Baldwin's original words and flood of rich archival material. I Am Not Your Negro is a journey into black history that connects the past of the Civil Rights movement to the present of #BlackLivesMatter. It is a film that questions black representation in Hollywood and beyond. And, ultimately, by confronting the deeper connections between the lives and assassination of these three leaders, Baldwin and Peck have produced a work that challenges the very definition of what America stands for.",I Am Not Your Negro offers an incendiary snapshot of James Baldwin's crucial observations on American race relations -- and a sobering reminder of how far we've yet to go.,Magnolia Pictures,PG-13 ,https://www.rottentomatoes.com/m/i_am_not_your_negro/
"I, Tonya",Drama,2018-01-19,89%,363,88%,12033,"$11,000,000 ","$28,950,158 ","$53,900,000 ",119,"Based on the unbelievable, but true events, I, TONYA is a darkly comedic tale of American figure skater, Tonya Harding, and one of the most sensational scandals in sports history. Though Harding was the first American woman to complete a triple axel in competition, her legacy was forever defined by her association with an infamous, ill-conceived, and even more poorly executed attack on fellow Olympic competitor Nancy Kerrigan. Featuring an iconic turn by Margot Robbie as the fiery Harding, a mustachioed Sebastian Stan as her impetuous ex-husband Jeff Gillooly, a tour-de-force performance from Allison Janney as her acid-tongued mother, LaVona Golden, and an original screenplay by Steven Rogers, Craig Gillespie's I, TONYA is an absurd, irreverent, and piercing portrayal of Harding's life and career in all of its unchecked--and checkered--glory.","Led by strong work from Margot Robbie and Alison Janney, I, Tonya finds the humor in its real-life story without losing sight of its more tragic -- and emotionally resonant -- elements.",NEON,R ,https://www.rottentomatoes.com/m/i_tonya/
If Beale Street Could Talk,Drama,2019-01-11,95%,337,70%,2355,"$12,000,000 ","$14,915,773 ","$20,600,000 ",117,"Set in early-1970s Harlem, If Beale Street Could Talk is a timeless and moving love story of both a couple's unbreakable bond and the African-American family's empowering embrace, as told through the eyes of 19-year-old Tish Rivers (screen newcomer KiKi Layne). A daughter and wife-to-be, Tish vividly recalls the passion, respect and trust that have connected her and her artist fiancé Alonzo Hunt, who goes by the nickname Fonny (Stephan James). Friends since childhood, the devoted couple dream of a future together but their plans are derailed when Fonny is arrested for a crime he did not commit. Through the unique intimacy and power of cinema, If Beale Street Could Talk honors the author's prescient words and imagery, charting the emotional currents navigated in an unforgiving and racially biased world as the filmmaker poetically crosses time frames to show how love and humanity endure.",If Beale Street Could Talk honors its source material with a beautifully filmed adaptation that finds director Barry Jenkins further strengthening his visual and narrative craft.,Annapurna Pictures,R ,https://www.rottentomatoes.com/m/if_beale_street_could_talk/
Incredibles 2,Animation,2018-06-15,94%,366,84%,17870,"$200,000,000 ","$608,581,744 ","$1,243,000,000 ",118,"Everyone's favorite family of superheroes is back in ""Incredibles 2""--but this time Helen (voice of Holly Hunter) is in the spotlight, leaving Bob (voice of Craig T. Nelson) at home with Violet (voice of Sarah Vowell) and Dash (voice of Huck Milner) to navigate the day-to-day heroics of ""normal"" life. It's a tough transistion for everyone, made tougher by the fact that the family is still unaware of baby Jack-Jack's emerging superpowers. When a new villain hatches a brilliant and dangerous plot, the family and Frozone (voice of Samuel L. Jackson) must find a way to work together again--which is easier said than done, even when they're all Incredible.","Incredibles 2 reunites Pixar's family crimefighting team for a long-awaited follow-up that may not quite live up to the original, but comes close enough to earn its name.",Disney/Pixar,PG ,https://www.rottentomatoes.com/m/incredibles_2/
Inside Llewyn Davis,Drama,2013-12-06,92%,276,74%,44868,"$11,000,000 ","$9,666,762 ","$32,900,000 ",105,"INSIDE LLEWYN DAVIS follows a week in the life of a young folk singer as he navigates the Greenwich Village folk scene of 1961. Guitar in tow, huddled against the unforgiving New York winter, he is struggling to make it as a musician against seemingly insurmountable obstacles-some of them of his own making. (c) CBS","Smart, funny, and profoundly melancholy, Inside Llewyn Davis finds the Coen brothers in fine form.",CBS Films,R ,https://www.rottentomatoes.com/m/inside_llewyn_davis_2013/
